id,title,slug,url,organization,organization_id,description,frequency,license,temporal_coverage.start,temporal_coverage.end,spatial.granularity,spatial.zones,private,featured,created_at,last_modified,tags,metric.discussions,metric.issues,metric.reuses,metric.followers,metric.views
5edb1571364c25147a179ef6,15 Station météo L'Union école,15-station-meteo-lunion-ecole,https://www.data.gouv.fr/fr/datasets/15-station-meteo-lunion-ecole/,Toulouse métropole,534fffb3a3a7292c64a78129,Ce jeu de données est issu du capteur n° 15 situé sur le site de l'école belbèze (Commune de l'Union) qui fait parti d'un réseau de stations météo situées sur la métropole Toulousaine en vue d'étudier le phénomène d'Ilot de Chaleur Urbain (ICU),unknown,Open Data Commons Open Database License (ODbL),,,,,FALSE,FALSE,2020-06-06T06:02:57.373000,2020-11-04T14:32:35,environnement,,,,,
5edb1572bdaf74f367179ef3,17 Station météo Fenouillet foyer,17-station-meteo-fenouillet-foyer,https://www.data.gouv.fr/fr/datasets/17-station-meteo-fenouillet-foyer/,Toulouse métropole,534fffb3a3a7292c64a78129,Ce jeu de données est issu du capteur n° 17 situé sur le site du Pôle jeunesse (Fenouillet) qui fait parti d'un réseau de stations météo situées sur la métropole Toulousaine en vue d'étudier le phénomène d'Ilot de Chaleur Urbain (ICU),unknown,Open Data Commons Open Database License (ODbL),,,,,FALSE,FALSE,2020-06-06T06:02:58.486000,2020-09-14T17:02:39,environnement,,,,,
5edb156eab3abf2f3d53b35a,18 Station météo Brax école,18-station-meteo-brax-ecole,https://www.data.gouv.fr/fr/datasets/18-station-meteo-brax-ecole/,Toulouse métropole,534fffb3a3a7292c64a78129,Ce jeu de données est issu du capteur n° 18 situé sur le site de l'école élémentaire de brax (Commune de Brax) qui fait parti d'un réseau de stations météo situées sur la métropole Toulousaine en vue d'étudier le phénomène d'Ilot de Chaleur Urbain (ICU),unknown,Open Data Commons Open Database License (ODbL),,,,,FALSE,FALSE,2020-06-06T06:02:54.398000,2020-11-10T16:17:36,environnement,,,,,
5edb15599c2e67119653b359,19 Station météo Mondouzil mairie,19-station-meteo-mondouzil-mairie,https://www.data.gouv.fr/fr/datasets/19-station-meteo-mondouzil-mairie/,Toulouse métropole,534fffb3a3a7292c64a78129,Ce jeu de données est issu du capteur n° 19 situé sur le site de la Mairie de Mondouzil qui fait parti d'un réseau de stations météo situées sur la métropole Toulousaine en vue d'étudier le phénomène d'Ilot de Chaleur Urbain (ICU),unknown,Open Data Commons Open Database License (ODbL),,,,,FALSE,FALSE,2020-06-06T06:02:33.538000,2020-11-16T03:47:36,environnement,,,,,
5edb155a9c2e67119653b35a,20 Station météo Mondonville école,20-station-meteo-mondonville-ecole,https://www.data.gouv.fr/fr/datasets/20-station-meteo-mondonville-ecole/,Toulouse métropole,534fffb3a3a7292c64a78129,Ce jeu de données est issu du capteur n°20 situé sur la commune de Mondonville qui fait parti d'un réseau de stations météo situées sur la métropole Toulousaine en vue d'étudier le phénomène d'Ilot de Chaleur Urbain (ICU),unknown,Open Data Commons Open Database License (ODbL),,,,,FALSE,FALSE,2020-06-06T06:02:34.318000,2020-11-16T04:02:03,environnement,,,,,
5cfb367a9ce2e71bc81d2bc1,22 Station météo Colomiers ZA Perget,22-station-meteo-colomiers-za-perget,https://www.data.gouv.fr/fr/datasets/22-station-meteo-colomiers-za-perget/,Toulouse métropole,534fffb3a3a7292c64a78129,Ce jeu de données est issu du capteur n° 22 situé sur le site de Colomiers ZA Perget (Colomiers) qui fait parti d'un réseau de stations météo situées sur la métropole Toulousaine en vue d'étudier le phénomène d'Ilot de Chaleur Urbain (ICU),unknown,Open Data Commons Open Database License (ODbL),,,,,FALSE,FALSE,2019-06-08T06:15:54.549000,2020-11-16T03:47:35,environnement,,,,,
5f57028987cf90dcbd61bf03,23 Station météo Pibrac Bouconne centre équestre,23-station-meteo-pibrac-bouconne-centre-equestre,https://www.data.gouv.fr/fr/datasets/23-station-meteo-pibrac-bouconne-centre-equestre/,Toulouse métropole,534fffb3a3a7292c64a78129,Ce jeu de données est issu du capteur n° 23 situé sur le site du club Hippique (Forêt de Bouconne à Pibrac) qui fait parti d'un réseau de stations météo situées sur la métropole Toulousaine en vue d'étudier le phénomène d'Ilot de Chaleur Urbain (ICU),unknown,Open Data Commons Open Database License (ODbL),,,,,FALSE,FALSE,2020-09-08T06:03:21.397000,2020-11-16T03:47:34,environnement,,,,,
5d37daec9ce2e77cbc90b662,24 Station météo Colomiers ZI Enjacca,24-station-meteo-colomiers-zi-enjacca,https://www.data.gouv.fr/fr/datasets/24-station-meteo-colomiers-zi-enjacca/,Toulouse métropole,534fffb3a3a7292c64a78129,Ce jeu de données est issu du capteur n° 24 situé sur le site de la ZI Enjacca (Colomiers) qui fait parti d'un réseau de stations météo situées sur la métropole Toulousaine en vue d'étudier le phénomène d'Ilot de Chaleur Urbain (ICU),unknown,Open Data Commons Open Database License (ODbL),,,,,FALSE,FALSE,2019-07-24T06:13:31.952000,2020-11-16T04:02:33,environnement,,,,,
5edb1570bedb372a47179ef5,25 Station météo Tournefeuille résidentiel,25-station-meteo-tournefeuille-residentiel,https://www.data.gouv.fr/fr/datasets/25-station-meteo-tournefeuille-residentiel/,Toulouse métropole,534fffb3a3a7292c64a78129,Ce jeu de données est issu du capteur n° 25 situé chez un particulier (Commune de Tournefeuille) qui fait parti d'un réseau de stations météo situées sur la métropole Toulousaine en vue d'étudier le phénomène d'Ilot de Chaleur Urbain (ICU),unknown,Open Data Commons Open Database License (ODbL),,,,,FALSE,FALSE,2020-06-06T06:02:56.332000,2020-11-16T04:02:42,environnement,,,,,
5edb1559276b619134179ef2,26 Station météo Toulouse Reynerie,26-station-meteo-toulouse-reynerie,https://www.data.gouv.fr/fr/datasets/26-station-meteo-toulouse-reynerie/,Toulouse métropole,534fffb3a3a7292c64a78129,le texte suivant est a utiliser pour décrire le jeu de données:,,,,,,,,,,,,,,,,
5edb1559bedb372a47179ef2,27 Station météo Toulouse Saint-Cyprien,27-station-meteo-toulouse-saint-cyprien,https://www.data.gouv.fr/fr/datasets/27-station-meteo-toulouse-saint-cyprien/,Toulouse métropole,534fffb3a3a7292c64a78129,Ce jeu de données est issu du capteur n° 27 situé sur le site de Saint Cyprien qui fait parti d'un réseau de stations météo situées sur la métropole Toulousaine en vue d'étudier le phénomène d'Ilot de Chaleur Urbain (ICU),unknown,Open Data Commons Open Database License (ODbL),,,,,FALSE,FALSE,2020-06-06T06:02:33.657000,2020-11-16T03:47:39,environnement,,,,,
5edb155ac904e4e133179ef3,28 Station météo Toulouse Carmes,28-station-meteo-toulouse-carmes,https://www.data.gouv.fr/fr/datasets/28-station-meteo-toulouse-carmes/,Toulouse métropole,534fffb3a3a7292c64a78129,Ce jeu de données est issu du capteur n° 28 situé dans le quartier des Carmes (Face aux bureaux de l'urbanisme de Toulouse métropole dans le quartier des Carmes) qui fait parti d'un réseau de stations météo situées sur la métropole Toulousaine en vue d'étudier le phénomène d'Ilot de Chaleur Urbain (ICU),unknown,Open Data Commons Open Database License (ODbL),,,,,FALSE,FALSE,2020-06-06T06:02:34.765000,2020-11-16T03:47:37,environnement,,,,,
5edb1559ef17a4565053b359,31 Station météo Mons station épuration,31-station-meteo-mons-station-epuration,https://www.data.gouv.fr/fr/datasets/31-station-meteo-mons-station-epuration/,Toulouse métropole,534fffb3a3a7292c64a78129,le texte suivant est a utiliser pour décrire le jeu de données:,,,,,,,,,,,,,,,,
5edb157052bd84f9c8179ef3,32 Station météo Mons école,32-station-meteo-mons-ecole,https://www.data.gouv.fr/fr/datasets/32-station-meteo-mons-ecole/,Toulouse métropole,534fffb3a3a7292c64a78129,Ce jeu de données est issu du capteur n°32 situé sur de la commune de Mons à proximité de l'école qui fait parti d'un réseau de stations météo situées sur la métropole Toulousaine en vue d'étudier le phénomène d'Ilot de Chaleur Urbain (ICU),unknown,Open Data Commons Open Database License (ODbL),,,,,FALSE,FALSE,2020-06-06T06:02:56.527000,2020-11-16T04:02:03,environnement,,,,,
5edb15709b3dfa8621179ef3,33 Station météo Saint Jory chapelle Beldou,33-station-meteo-saint-jory-chapelle-beldou,https://www.data.gouv.fr/fr/datasets/33-station-meteo-saint-jory-chapelle-beldou/,Toulouse métropole,534fffb3a3a7292c64a78129,le texte suivant est a utiliser pour décrire le jeu de données:,,,,,,,,,,,,,,,,
5edb155abedb372a47179ef3,36 Station météo Toulouse Purpan,36-station-meteo-toulouse-purpan,https://www.data.gouv.fr/fr/datasets/36-station-meteo-toulouse-purpan/,Toulouse métropole,534fffb3a3a7292c64a78129,Ce jeu de données est issu du capteur n° 36 situé sur le site de l'hôpital Purpan (Quartier Purpan à Toulouse) qui fait parti d'un réseau de stations météo situées sur la métropole Toulousaine en vue d'étudier le phénomène d'Ilot de Chaleur Urbain (ICU),unknown,Open Data Commons Open Database License (ODbL),,,,,FALSE,FALSE,2020-06-06T06:02:34.793000,2020-11-16T04:02:35,environnement,,,,,
5edb1570077fe9075a179ef2,37 Station météo Toulouse université Paul Sabatier,37-station-meteo-toulouse-universite-paul-sabatier,https://www.data.gouv.fr/fr/datasets/37-station-meteo-toulouse-universite-paul-sabatier/,Toulouse métropole,534fffb3a3a7292c64a78129,Ce jeu de données est issu du capteur n° 37 situé sur le site de l'Université Paul Sabatier (Quartier Rangueil à Toulouse) qui fait parti d'un réseau de stations météo situées sur la métropole Toulousaine en vue d'étudier le phénomène d'Ilot de Chaleur Urbain (ICU),unknown,Open Data Commons Open Database License (ODbL),,,,,FALSE,FALSE,2020-06-06T06:02:56.138000,2020-11-16T04:01:26,environnement,,,,,
5edb1570c727540dcb179ef4,38 Station météo Toulouse parc Jardin des Plantes,38-station-meteo-toulouse-parc-jardin-des-plantes,https://www.data.gouv.fr/fr/datasets/38-station-meteo-toulouse-parc-jardin-des-plantes/,Toulouse métropole,534fffb3a3a7292c64a78129,Ce jeu de données est issu du capteur n° 38 situé sur le site du Jardin des Plantes (Quartier Le Busca à Toulouse) qui fait parti d'un réseau de stations météo situées sur la métropole Toulousaine en vue d'étudier le phénomène d'Ilot de Chaleur Urbain (ICU),unknown,Open Data Commons Open Database License (ODbL),,,,,FALSE,FALSE,2020-06-06T06:02:56.124000,2020-11-03T23:17:51,environnement,,,,,
