data;id;mois;jour;annee;numero_de_message;temperature_partie_entiere;temperature_partie_decimale;humidite;pluie_en_augets;direction_du_vecteur_moyen_de_vent;force_moyenne_du_vecteur_de_vent;pression_a_decoder;direction_du_vecteur_de_vent_max;force_du_vecteur_de_vent_max;pluie_la_plus_intense_durant_1_min;type_station;pluie_intensite_max;heure;annee_reelle;minute;pression;temperature_decodee;direction_du_vecteur_vent_moyen;type_de_station;pluie;direction_du_vecteur_de_vent_max_en_degres;force_moyenne_du_vecteur_vent;force_rafale_max;jour_mois;dd_mm_yy_utc;hh_mm_utc;dd_mm_yy_hh_mm;temperature_en_degre_c;false_message;dd_mm_yy_hh_mm_utc;heure_paris_dd_mm_yy_hh_mm;heure_de_paris;heure_utc
3eeb1ad14da800000cc00000;31;7;11;1;86;69;3;53;0;0;0;102;0;0;0;0;0.0;21;2020;15;100200;19;0;ISS;0.0;0.0;0;0;11/7;11/7/2020;21:15;2020-07-11T21:15:00;19.3;213909504;2020-07-11T21:15:00+00:00;2020-07-11T21:15:00+02:00;2020-07-11T21:15:00+00:00;2020-07-11T21:15:00+00:00
3eeb1b510dd800e02cc41400;31;7;11;1;90;68;3;59;0;14;1;102;2;5;0;0;0.0;22;2020;15;100200;18;28;ISS;0.0;45.0;1;5;11/7;11/7/2020;22:15;2020-07-11T22:15:00;18.3;962823721984;2020-07-11T22:15:00+00:00;2020-07-11T22:15:00+02:00;2020-07-11T22:15:00+00:00;2020-07-11T22:15:00+00:00
3eec10d00e5000000cbe0800;31;7;12;1;6;64;3;74;0;0;0;101;15;2;0;0;0.0;1;2020;15;100100;14;0;ISS;0.0;337.5;0;2;12/7;12/7/2020;1:15;2020-07-12T01:15:00;14.3;213780480;2020-07-12T01:15:00+00:00;2020-07-12T01:15:00+02:00;2020-07-12T01:15:00+00:00;2020-07-12T01:15:00+00:00
3eec10f0026000000cbe0800;31;7;12;1;7;64;0;76;0;0;0;101;15;2;0;0;0.0;1;2020;30;100100;14;0;ISS;0.0;337.5;0;2;12/7;12/7/2020;1:30;2020-07-12T01:30:00;14.0;213780480;2020-07-12T01:30:00+00:00;2020-07-12T01:30:00+02:00;2020-07-12T01:30:00+00:00;2020-07-12T01:30:00+00:00
3eec118fa67800000ca00000;31;7;12;1;12;62;9;79;0;0;0;101;0;0;0;0;0.0;2;2020;45;100100;12;0;ISS;0.0;0.0;0;0;12/7;12/7/2020;2:45;2020-07-12T02:45:00;12.9;211812352;2020-07-12T02:45:00+00:00;2020-07-12T02:45:00+02:00;2020-07-12T02:45:00+00:00;2020-07-12T02:45:00+00:00
3eec11af967000000cbe0800;31;7;12;1;13;62;5;78;0;0;0;101;15;2;0;0;0.0;3;2020;0;100100;12;0;ISS;0.0;337.5;0;2;12/7;12/7/2020;3:0;2020-07-12T03:00:00;12.5;213780480;2020-07-12T03:00:00+00:00;2020-07-12T03:00:00+02:00;2020-07-12T03:00:00+00:00;2020-07-12T03:00:00+00:00
3eec11ef868800000cbe0800;31;7;12;1;15;62;1;81;0;0;0;101;15;2;0;0;0.0;3;2020;30;100100;12;0;ISS;0.0;337.5;0;2;12/7;12/7/2020;3:30;2020-07-12T03:30:00;12.1;213780480;2020-07-12T03:30:00+00:00;2020-07-12T03:30:00+02:00;2020-07-12T03:30:00+00:00;2020-07-12T03:30:00+00:00
3eea19f24db00970ccba5800;31;7;10;1;79;73;3;54;0;151;6;101;13;22;0;0;0.0;19;2020;30;100100;23;302;ISS;0.0;292.5;6;22;10/7;10/7/2020;19:30;2020-07-10T19:30:00;23.3;10380075751424;2020-07-10T19:30:00+00:00;2020-07-10T19:30:00+02:00;2020-07-10T19:30:00+00:00;2020-07-10T19:30:00+00:00
3eea1912c18008d0acb84c00;31;7;10;1;72;75;0;48;0;141;5;101;12;19;0;0;0.0;17;2020;45;100100;25;282;ISS;0.0;270.0;5;19;10/7;10/7/2020;17:45;2020-07-10T17:45:00;25.0;9692343979008;2020-07-10T17:45:00+00:00;2020-07-10T17:45:00+02:00;2020-07-10T17:45:00+00:00;2020-07-10T17:45:00+00:00
3eea1873056007808c9a4000;31;7;10;1;67;76;1;44;0;120;4;100;13;16;0;0;0.0;16;2020;30;100000;26;240;ISS;0.0;292.5;4;16;10/7;10/7/2020;16:30;2020-07-10T16:30:00;26.1;8248696127488;2020-07-10T16:30:00+00:00;2020-07-10T16:30:00+02:00;2020-07-10T16:30:00+00:00;2020-07-10T16:30:00+00:00
